LpdNikNaked                      0) Weapon Set 1, Thug's Tools
ShitskysSecureStatus             0) Weapon Set 1, Thug's Tools
SidewalkGeezerGreens             0) Weapon Set 1, Thug's Tools
BerkleyDeploymentRoom            0) Weapon Set 1, Thug's Tools
CrossingJoinedProudly            0) Weapon Set 1, Thug's Tools
CrownSponsoredHammock            0) Weapon Set 1, Thug's Tools
DisplayedJackedBobcat            0) Weapon Set 1, Thug's Tools
GatesUnfairPrejudiced            0) Weapon Set 1, Thug's Tools
HoledPanopticonYellow            0) Weapon Set 1, Thug's Tools
IncreasingCoatsLosers            0) Weapon Set 1, Thug's Tools
MapsFocusesDisclaimer            0) Weapon Set 1, Thug's Tools
MariconBreakinCavalry            0) Weapon Set 1, Thug's Tools
PortablesByrnesGently            0) Weapon Set 1, Thug's Tools
RecommendBehalfCullen            0) Weapon Set 1, Thug's Tools
ReviewedFormattedOwns            0) Weapon Set 1, Thug's Tools
SportSpecialistMessed            0) Weapon Set 1, Thug's Tools
SupportedShuffleFaced            0) Weapon Set 1, Thug's Tools
TecomStartedHomepages            0) Weapon Set 1, Thug's Tools
TimeUpcomingMechanics            0) Weapon Set 1, Thug's Tools
WhackedItselfAttacked            0) Weapon Set 1, Thug's Tools
ArtistSpectrumUnloaded           0) Weapon Set 1, Thug's Tools
BleepingExchangesColon           0) Weapon Set 1, Thug's Tools
CentralPolishPrimarily           0) Weapon Set 1, Thug's Tools
RepublicEasterSunshine           0) Weapon Set 1, Thug's Tools
RifleGrantedHuuuurghhh           0) Weapon Set 1, Thug's Tools
WaistPhonyOppressively           0) Weapon Set 1, Thug's Tools
WeatherKennethSupplies           0) Weapon Set 1, Thug's Tools
ZeroingArticleReceives           0) Weapon Set 1, Thug's Tools
AppendixSeasparrowOrtiz          0) Weapon Set 1, Thug's Tools
AttorneyFlatteryLeaders          0) Weapon Set 1, Thug's Tools
BabyfoodHeaviesRothwell          0) Weapon Set 1, Thug's Tools
BangersGoodnessBleeding          0) Weapon Set 1, Thug's Tools
BritishGuppyPerspective          0) Weapon Set 1, Thug's Tools
CreativeVisibilityUsmtf          0) Weapon Set 1, Thug's Tools
DanceHolinessCommandeer          0) Weapon Set 1, Thug's Tools
HurghPreventiveEmployed          0) Weapon Set 1, Thug's Tools
LitigationTissueMapping          0) Weapon Set 1, Thug's Tools
OppositionGenParticular          0) Weapon Set 1, Thug's Tools
PersonsRankingPerverted          0) Weapon Set 1, Thug's Tools
TracksSectionsIrregular          0) Weapon Set 1, Thug's Tools
ChainsawDetachmentTahoma         0) Weapon Set 1, Thug's Tools
ChopperSpecificallyYoung         0) Weapon Set 1, Thug's Tools
ClothingBuggyLimitations         0) Weapon Set 1, Thug's Tools
ContainerQuestionsPeriod         0) Weapon Set 1, Thug's Tools
GoodCharlestonCoastguard         0) Weapon Set 1, Thug's Tools
ImprovementExpertsPickup         0) Weapon Set 1, Thug's Tools
ProblemoContactsStacking         0) Weapon Set 1, Thug's Tools
RoiccInformationalHustle         0) Weapon Set 1, Thug's Tools
ConfinementToledoMaritime        0) Weapon Set 1, Thug's Tools
CourthouseChokesReporting        0) Weapon Set 1, Thug's Tools
EdwardChromerSurvivalists        0) Weapon Set 1, Thug's Tools
ForeignPartnershipAnxiety        0) Weapon Set 1, Thug's Tools
FunctionalDeservedMaricon        0) Weapon Set 1, Thug's Tools
HitchHorseshoesVertically        0) Weapon Set 1, Thug's Tools
InterestedArticleBoxville        0) Weapon Set 1, Thug's Tools
MotherfuckerAmsoRocinante        0) Weapon Set 1, Thug's Tools
SycophanticTinkerOffering        0) Weapon Set 1, Thug's Tools
VillagePresentationRobbed        0) Weapon Set 1, Thug's Tools
AirplaneDellepianeUpgrades       0) Weapon Set 1, Thug's Tools
EverythingOtherwiseTrailer       0) Weapon Set 1, Thug's Tools
SuccessfullySessionChandler      0) Weapon Set 1, Thug's Tools
RoccoBrainedCounterclockwise     0) Weapon Set 1, Thug's Tools
StatisticalCapitalCompulsive     0) Weapon Set 1, Thug's Tools
DirectorCheckingIdentification   0) Weapon Set 1, Thug's Tools
TelecommunicationsVisiblyOrganizations   0) Weapon Set 1, Thug's Tools
TagsChestA                       2) Weapon Set 3, Nutter Tools
ConedRedCvn                      2) Weapon Set 3, Nutter Tools
ActingHugIan                     2) Weapon Set 3, Nutter Tools
IndexKenSooo                     2) Weapon Set 3, Nutter Tools
OriolNoBasis                     2) Weapon Set 3, Nutter Tools
SandAlexThru                     2) Weapon Set 3, Nutter Tools
AcrossWwTrays                    2) Weapon Set 3, Nutter Tools
DamagesFryHmm                    2) Weapon Set 3, Nutter Tools
HeGottaTurbot                    2) Weapon Set 3, Nutter Tools
RestartOnHola                    2) Weapon Set 3, Nutter Tools
VeBallsAnyhoo                    2) Weapon Set 3, Nutter Tools
EvadedHijoFoia                   2) Weapon Set 3, Nutter Tools
ForgiveHeinzBi                   2) Weapon Set 3, Nutter Tools
GradeRobTricks                   2) Weapon Set 3, Nutter Tools
MenuGeldingCar                   2) Weapon Set 3, Nutter Tools
PartsWhoooPest                   2) Weapon Set 3, Nutter Tools
TopMomsIslands                   2) Weapon Set 3, Nutter Tools
TrueDietAttack                   2) Weapon Set 3, Nutter Tools
AcrobatJordinFt                  2) Weapon Set 3, Nutter Tools
AstmRoquePacker                  2) Weapon Set 3, Nutter Tools
FoilConsultSlow                  2) Weapon Set 3, Nutter Tools
GuardsmenUhAtms                  2) Weapon Set 3, Nutter Tools
HalfErrorsWeave                  2) Weapon Set 3, Nutter Tools
HeaviesSnackJaz                  2) Weapon Set 3, Nutter Tools
HijackSaudiLaid                  2) Weapon Set 3, Nutter Tools
JaxmConfinedMsc                  2) Weapon Set 3, Nutter Tools
JonHonorsGooood                  2) Weapon Set 3, Nutter Tools
LegsKnowsDwayne                  2) Weapon Set 3, Nutter Tools
LikedUnsavedMek                  2) Weapon Set 3, Nutter Tools
LowlifeMclbRota                  2) Weapon Set 3, Nutter Tools
MeanFemalePedro                  2) Weapon Set 3, Nutter Tools
NovLadyContains                  2) Weapon Set 3, Nutter Tools
PeriodAlreadyVo                  2) Weapon Set 3, Nutter Tools
ProLyricsCastle                  2) Weapon Set 3, Nutter Tools
RestTelephoneEr                  2) Weapon Set 3, Nutter Tools
SafesTinkerBump                  2) Weapon Set 3, Nutter Tools
BoboArkansasAtms                 2) Weapon Set 3, Nutter Tools
ErsNooooParallel                 2) Weapon Set 3, Nutter Tools
ExjWestParamedic                 2) Weapon Set 3, Nutter Tools
FetchProbDamaged                 2) Weapon Set 3, Nutter Tools
RatsShatnerSniff                 2) Weapon Set 3, Nutter Tools
RidgeFlowersUpon                 2) Weapon Set 3, Nutter Tools
RuinCoinBurglary                 2) Weapon Set 3, Nutter Tools
BlindedCartoonAdd                2) Weapon Set 3, Nutter Tools
ChickenheadRsaWee                2) Weapon Set 3, Nutter Tools
DaddyMissouriFeel                2) Weapon Set 3, Nutter Tools
DiddyGrandoDenise                2) Weapon Set 3, Nutter Tools
EdwinStrappedSink                2) Weapon Set 3, Nutter Tools
FalkirkTinyPolicy                2) Weapon Set 3, Nutter Tools
HiveDevinOverview                2) Weapon Set 3, Nutter Tools
HollerEngulfedWoo                2) Weapon Set 3, Nutter Tools
LimitsBfRecording                2) Weapon Set 3, Nutter Tools
LimoElizabethLegs                2) Weapon Set 3, Nutter Tools
LoungeFixedWeapon                2) Weapon Set 3, Nutter Tools
MyAlbumConstitute                2) Weapon Set 3, Nutter Tools
QuayProbeGlendale                2) Weapon Set 3, Nutter Tools
SweeneySwcpocWays                2) Weapon Set 3, Nutter Tools
TopfunFearingMood                2) Weapon Set 3, Nutter Tools
AloneLettermanPaid               2) Weapon Set 3, Nutter Tools
AwakeHonorListings               2) Weapon Set 3, Nutter Tools
ClusterCesarsCaddy               2) Weapon Set 3, Nutter Tools
CoronasHerediaRare               2) Weapon Set 3, Nutter Tools
EggCleaningBanking               2) Weapon Set 3, Nutter Tools
FieroDefeatDigital               2) Weapon Set 3, Nutter Tools
HeadedWonderGained               2) Weapon Set 3, Nutter Tools
ModelsMountainRuca               2) Weapon Set 3, Nutter Tools
PantsMovesMonterey               2) Weapon Set 3, Nutter Tools
ProvidersArlMemory               2) Weapon Set 3, Nutter Tools
RodeoTongueBaggage               2) Weapon Set 3, Nutter Tools
ShaggStrongMartini               2) Weapon Set 3, Nutter Tools
ShotgunWiredPebble               2) Weapon Set 3, Nutter Tools
TorsoSkimmerRunnin               2) Weapon Set 3, Nutter Tools
WarfareArthurSpare               2) Weapon Set 3, Nutter Tools
WashedLayoutAlexis               2) Weapon Set 3, Nutter Tools
WorthlessArngSneak               2) Weapon Set 3, Nutter Tools
AdmiralSpyPersonnel              2) Weapon Set 3, Nutter Tools
AlertSomehowKnights              2) Weapon Set 3, Nutter Tools
BuoysBritsMovements              2) Weapon Set 3, Nutter Tools
CapableNcscCompound              2) Weapon Set 3, Nutter Tools
CurachaDuelistShall              2) Weapon Set 3, Nutter Tools
ForumUpdatesLeisure              2) Weapon Set 3, Nutter Tools
GccsElevatorMonitor              2) Weapon Set 3, Nutter Tools
GroupsShirtShiiiiit              2) Weapon Set 3, Nutter Tools
KhakisDoreckVylette              2) Weapon Set 3, Nutter Tools
MapsetJamiesonTdatz              2) Weapon Set 3, Nutter Tools
PokedMagnetBuilding              2) Weapon Set 3, Nutter Tools
PrimaryLeatherModes              2) Weapon Set 3, Nutter Tools
RuckusSupposedOught              2) Weapon Set 3, Nutter Tools
SlangersSportThumps              2) Weapon Set 3, Nutter Tools
SmellyamaChingaWall              2) Weapon Set 3, Nutter Tools
TentsSanchezEnhance              2) Weapon Set 3, Nutter Tools
TestingPicaDinghies              2) Weapon Set 3, Nutter Tools
WeaponryMaintainLet              2) Weapon Set 3, Nutter Tools
BeginnerSwitchedDeal             2) Weapon Set 3, Nutter Tools
BriefsModifiedKosovo             2) Weapon Set 3, Nutter Tools
CorrectlySnoutCamper             2) Weapon Set 3, Nutter Tools
DohertySecludedBoils             2) Weapon Set 3, Nutter Tools
EffectFellasJournals             2) Weapon Set 3, Nutter Tools
LandlordSkitzingCola             2) Weapon Set 3, Nutter Tools
LoooocInsanityCareer             2) Weapon Set 3, Nutter Tools
PalominoBarberBriefs             2) Weapon Set 3, Nutter Tools
PracticingPanicsWeed             2) Weapon Set 3, Nutter Tools
PromiseKickedMothers             2) Weapon Set 3, Nutter Tools
PromoteJamieAarrgghh             2) Weapon Set 3, Nutter Tools
RecoverAtsugiAcademy             2) Weapon Set 3, Nutter Tools
RollerKeptMulholland             2) Weapon Set 3, Nutter Tools
ShareEstablishedAhhh             2) Weapon Set 3, Nutter Tools
SmackKnuckledBetween             2) Weapon Set 3, Nutter Tools
TenSeparationCapable             2) Weapon Set 3, Nutter Tools
TrademarkAmenJeffrey             2) Weapon Set 3, Nutter Tools
TriadWarnerDisbanded             2) Weapon Set 3, Nutter Tools
UsnoCarriageBirthday             2) Weapon Set 3, Nutter Tools
WalgerDependentsHint             2) Weapon Set 3, Nutter Tools
WashCutsceneSkittery             2) Weapon Set 3, Nutter Tools
WinAtlanticScientist             2) Weapon Set 3, Nutter Tools
YearsSorianoSentence             2) Weapon Set 3, Nutter Tools
AlanWhitemanKuczerepa            2) Weapon Set 3, Nutter Tools
BuckmeladTaryRecently            2) Weapon Set 3, Nutter Tools
CocksuckerCompoundItb            2) Weapon Set 3, Nutter Tools
CoveringEllContraband            2) Weapon Set 3, Nutter Tools
DiarrheaCoughingOwned            2) Weapon Set 3, Nutter Tools
DiddyBranchAssessment            2) Weapon Set 3, Nutter Tools
DisputesScopeKentucky            2) Weapon Set 3, Nutter Tools
DrunkRecommendedBeefy            2) Weapon Set 3, Nutter Tools
FundedSeekingCoughing            2) Weapon Set 3, Nutter Tools
GuysParametersJavelin            2) Weapon Set 3, Nutter Tools
GymsGrillUnclassified            2) Weapon Set 3, Nutter Tools
IncludeCustomsShields            2) Weapon Set 3, Nutter Tools
ItselfPizzaCompatible            2) Weapon Set 3, Nutter Tools
PaybackPocketStranger            2) Weapon Set 3, Nutter Tools
PeacetimeJudgeBarrels            2) Weapon Set 3, Nutter Tools
PlatinRescueSearching            2) Weapon Set 3, Nutter Tools
SnakeheadTintorCareer            2) Weapon Set 3, Nutter Tools
StinkingCallMaintains            2) Weapon Set 3, Nutter Tools
WarehouseWhoooRequest            2) Weapon Set 3, Nutter Tools
AnybodyAsksEngineering           2) Weapon Set 3, Nutter Tools
ArlingtonCheatedVector           2) Weapon Set 3, Nutter Tools
DefenseAwaitingStinger           2) Weapon Set 3, Nutter Tools
HolyStorehouseTropical           2) Weapon Set 3, Nutter Tools
JulioSeparationEasiest           2) Weapon Set 3, Nutter Tools
JuliusInstitutionShort           2) Weapon Set 3, Nutter Tools
LooseDetonatorDiscover           2) Weapon Set 3, Nutter Tools
PiratesLeadershipHatch           2) Weapon Set 3, Nutter Tools
QuickChickenheadsSnort           2) Weapon Set 3, Nutter Tools
SweetheartCollinsJuice           2) Weapon Set 3, Nutter Tools
TdatAndrewTechnologies           2) Weapon Set 3, Nutter Tools
UnnecessaryIslandPlant           2) Weapon Set 3, Nutter Tools
AauuuauuughhhhTkeyScrew          2) Weapon Set 3, Nutter Tools
AttackingOutranAnimator          2) Weapon Set 3, Nutter Tools
DestinationsWelfareSmgs          2) Weapon Set 3, Nutter Tools
MapsetDelightContraband          2) Weapon Set 3, Nutter Tools
OrderingCioConstruction          2) Weapon Set 3, Nutter Tools
RecoilEvaluationsTopfun          2) Weapon Set 3, Nutter Tools
SurprisedDodgeSomewhere          2) Weapon Set 3, Nutter Tools
AdministrationStandingSt         2) Weapon Set 3, Nutter Tools
CommunismProtocolVarious         2) Weapon Set 3, Nutter Tools
DisciplinaryRunninHarder         2) Weapon Set 3, Nutter Tools
HitherDependableHappened         2) Weapon Set 3, Nutter Tools
LizardsSundayCountryside         2) Weapon Set 3, Nutter Tools
MilitaristicShatrawLorna         2) Weapon Set 3, Nutter Tools
CurrentlyStrangersCalling        2) Weapon Set 3, Nutter Tools
ForgottenNepaleseFeathers        2) Weapon Set 3, Nutter Tools
IncreaseTigersRefractions        2) Weapon Set 3, Nutter Tools
ArrivedHuesoUnprofessional       2) Weapon Set 3, Nutter Tools
DisplaysChickenheadThinkin       2) Weapon Set 3, Nutter Tools
ExistingAccessedLegitimate       2) Weapon Set 3, Nutter Tools
GenerationDisclaimerCamper       2) Weapon Set 3, Nutter Tools
ParlorSandstornAcquisition       2) Weapon Set 3, Nutter Tools
ThinksPreviouslyRestricted       2) Weapon Set 3, Nutter Tools
BahmaieCollisionsPunishment      2) Weapon Set 3, Nutter Tools
DemonstrationCarjackerDerek      2) Weapon Set 3, Nutter Tools
DistributeSeptemberIndicate      2) Weapon Set 3, Nutter Tools
GccsAssassinationBlackboard      2) Weapon Set 3, Nutter Tools
ImminentPertainingCondition      2) Weapon Set 3, Nutter Tools
InductionDecreasesEfficient      2) Weapon Set 3, Nutter Tools
KnowledgePicturePerpetrator      2) Weapon Set 3, Nutter Tools
GrinderChallengingHydraulics     2) Weapon Set 3, Nutter Tools
SpookingInvestigationsPatton     2) Weapon Set 3, Nutter Tools
ClothingInadequateUnimpressed    2) Weapon Set 3, Nutter Tools
ConfigurationSugarSupervising    2) Weapon Set 3, Nutter Tools
FrameCommendationRepresenting    2) Weapon Set 3, Nutter Tools
InteroperabilityEnjoyingDemise   2) Weapon Set 3, Nutter Tools
MotherfuckerAlongsideSpecifications   2) Weapon Set 3, Nutter Tools
QualificationsTechnicianMacaluso   2) Weapon Set 3, Nutter Tools
HeSoyAm                          3) Health, Armor, $250k
FydpDlBrits                      3) Health, Armor, $250k
WaiPpepRock                      3) Health, Armor, $250k
FeesAmsoRope                     3) Health, Armor, $250k
SueCowardMod                     3) Health, Armor, $250k
YudmanPanRon                     3) Health, Armor, $250k
BadItchAttach                    3) Health, Armor, $250k
FussZoomTommy                    3) Health, Armor, $250k
HeadedSodaHos                    3) Health, Armor, $250k
SwzCegsMighty                    3) Health, Armor, $250k
TonsDupBoxing                    3) Health, Armor, $250k
GuyResetCannes                   3) Health, Armor, $250k
MenuMarchandCo                   3) Health, Armor, $250k
OohBoringCrews                   3) Health, Armor, $250k
SautTbdMaiming                   3) Health, Armor, $250k
SpyGaveAttempt                   3) Health, Armor, $250k
WindowNameAcap                   3) Health, Armor, $250k
AbsorbKiloGiddy                  3) Health, Armor, $250k
AutoHijoStature                  3) Health, Armor, $250k
CarlImplyHither                  3) Health, Armor, $250k
ChampusGateCost                  3) Health, Armor, $250k
FaqsMemcardEasy                  3) Health, Armor, $250k
HisCalamityCock                  3) Health, Armor, $250k
HurtinWeedoBask                  3) Health, Armor, $250k
LieInternetSsgt                  3) Health, Armor, $250k
VanHippyDrivers                  3) Health, Armor, $250k
VelaOystersFoul                  3) Health, Armor, $250k
AirmenKoreanGlad                 3) Health, Armor, $250k
DirectedPagesDet                 3) Health, Armor, $250k
EggAssuranceThru                 3) Health, Armor, $250k
GtaTallSandstorm                 3) Health, Armor, $250k
HailLearningDumb                 3) Health, Armor, $250k
HerFoggyResource                 3) Health, Armor, $250k
HistdatUnitsItem                 3) Health, Armor, $250k
IsolatedAcHoping                 3) Health, Armor, $250k
McmahonStickOhno                 3) Health, Armor, $250k
OverheadWheelNut                 3) Health, Armor, $250k
ShawnFenceFollow                 3) Health, Armor, $250k
AlistairFeetSucks                3) Health, Armor, $250k
CubanStartNitrous                3) Health, Armor, $250k
DiscoverPartsRich                3) Health, Armor, $250k
DriversMonkeyMust                3) Health, Armor, $250k
EreSecureProposal                3) Health, Armor, $250k
HoraleCoronaUntie                3) Health, Armor, $250k
InsertedArendHome                3) Health, Armor, $250k
IssuedSachsSultan                3) Health, Armor, $250k
LayTransmitChoice                3) Health, Armor, $250k
LeadersSewedDrown                3) Health, Armor, $250k
MacheteDivingJail                3) Health, Armor, $250k
MajorityTdatbLieu                3) Health, Armor, $250k
OklahomaCatWeldon                3) Health, Armor, $250k
RecommendSingWays                3) Health, Armor, $250k
SnatchWowMarchand                3) Health, Armor, $250k
SoyAlvarezSurgery                3) Health, Armor, $250k
SpectrumBeagleGal                3) Health, Armor, $250k
TkeypSueaneDermal                3) Health, Armor, $250k
AcrobatPokedTested               3) Health, Armor, $250k
AolObjectRemaining               3) Health, Armor, $250k
BascoRelishCrossed               3) Health, Armor, $250k
BasesAlaskaStealin               3) Health, Armor, $250k
DreamKinleySchools               3) Health, Armor, $250k
EverythingBoxesLap               3) Health, Armor, $250k
EyeballLinenJoking               3) Health, Armor, $250k
FaizonNumericalErs               3) Health, Armor, $250k
FryingTrotsCleared               3) Health, Armor, $250k
LantdivPeaScrewing               3) Health, Armor, $250k
MarkedAboveNetwork               3) Health, Armor, $250k
RajonasBunkerStand               3) Health, Armor, $250k
SweetDanielleTdatj               3) Health, Armor, $250k
TalkDollarsAntoine               3) Health, Armor, $250k
ThisRegisterCourts               3) Health, Armor, $250k
WarpHockeyEggplant               3) Health, Armor, $250k
WongOtherwiseAgain               3) Health, Armor, $250k
AuditionOutriderDog              3) Health, Armor, $250k
BustStatutesImposed              3) Health, Armor, $250k
CrashvSkirtsFaraday              3) Health, Armor, $250k
DivertRetiredAfford              3) Health, Armor, $250k
EnjoyLookRelocation              3) Health, Armor, $250k
FaggioShepardHitmen              3) Health, Armor, $250k
ImportingVoiceMondo              3) Health, Armor, $250k
LockedCentreRichman              3) Health, Armor, $250k
MannerItaliansLatin              3) Health, Armor, $250k
MescalineBangerArng              3) Health, Armor, $250k
MootvDivertSplatter              3) Health, Armor, $250k
ObjectsSensorsFeria              3) Health, Armor, $250k
PortablesGrooveBoat              3) Health, Armor, $250k
PublicEndedImminent              3) Health, Armor, $250k
SharperCocktailPast              3) Health, Armor, $250k
SinfulWeakAlongside              3) Health, Armor, $250k
SplitVeteranoTinkle              3) Health, Armor, $250k
TitsKennyProgrammer              3) Health, Armor, $250k
TravelsAlliedTester              3) Health, Armor, $250k
TroubleFlushedDunno              3) Health, Armor, $250k
TrustStuffinEmploys              3) Health, Armor, $250k
WalletCopiedDisband              3) Health, Armor, $250k
WeaselFiguresAvenue              3) Health, Armor, $250k
AmendmentBollocksLsd             3) Health, Armor, $250k
AnimatorDatingPayaso             3) Health, Armor, $250k
BallisticWeekSeville             3) Health, Armor, $250k
BathhouseRiverRollin             3) Health, Armor, $250k
CheeryWednesdayKerry             3) Health, Armor, $250k
CommandedJoinStephen             3) Health, Armor, $250k
CommanderNumbersBull             3) Health, Armor, $250k
DamageSendsLiterally             3) Health, Armor, $250k
DamagesEndsLiterally             3) Health, Armor, $250k
DestinationEddieAsia             3) Health, Armor, $250k
EnableFortuneAspects             3) Health, Armor, $250k
HarryPhysicalBelieve             3) Health, Armor, $250k
HonestlySistoSatisfy             3) Health, Armor, $250k
MayanParticipantsUna             3) Health, Armor, $250k
NorfolkIntactFarmers             3) Health, Armor, $250k
ProfitLagoonExplorer             3) Health, Armor, $250k
SoupSquadronsTowards             3) Health, Armor, $250k
ArrivedLettinRandolph            3) Health, Armor, $250k
DarreckRetractLiberty            3) Health, Armor, $250k
ErlDoorsContributions            3) Health, Armor, $250k
FiretrkSaturdayBrandy            3) Health, Armor, $250k
ForumAsksPublications            3) Health, Armor, $250k
GreenallUnderseaBunny            3) Health, Armor, $250k
InstinctCurledPitches            3) Health, Armor, $250k
JamieDevelopingBreach            3) Health, Armor, $250k
MassacreJamiesonFinds            3) Health, Armor, $250k
